JK,Issue code,Issue name,Listing date,Provider,Yield(The past year),Underlying index,Tracking error,AUM,Disparate ratio,Volatility,Replication method,TER,Taxation type
,414270,ACE G2 EV&AV Active,2022/02/15,KOREA INVESTMENT TR,-1.68,FactSet US-China Electric&Autonomous Vehicle Price Return Index,12.48,64174148124,-0.75,High,Physical(Active),0.29,Dividend income tax(tax on holding period)
,411050,ACE Global Metaverse tech Active,2021/12/22,KOREA INVESTMENT TR,59.9,Bloomberg Global Digital Media & Tech Select Price Return Index,12.68,20052598246,-0.36,Normal,Physical(Active),0.5,Dividend income tax(tax on holding period)
,483340,ACE Google Value Chain Active,2024/06/11,KOREA INVESTMENT TR,0,KEDI Global AI Cloud Index,7.47,35127660311,0.47,High,Physical(Active),0.45,Dividend income tax(tax on holding period)
,145670,ACE INVERSE,2011/09/08,KOREA INVESTMENT TR,-9.87,F-KOSPI 200,0.21,2512187872,0.01,Normal,Physical(Passive),0.15,Dividend income tax(tax on holding period)
,196030,ACE Japan Leverage(H),2014/06/16,KOREA INVESTMENT TR,58.55,TOPIX,4.24,22978641266,-0.92,Very high,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,238720,ACE Japan Nikkei225(H),2016/03/03,KOREA INVESTMENT TR,24.92,Nikkei 225,1.04,30755053788,-0.68,Normal,Physical(Passive),0.3,Dividend Income Tax(Foreign Stock Investment ETF)
,469160,ACE Japan Semiconductor,2023/10/17,KOREA INVESTMENT TR,0,Bloomberg Japan Semiconductor Select Top 25 Index(Price Return),0.67,25813138501,-1.06,High,Physical(Passive),0.45,Dividend income tax(tax on holding period)
,356540,ACE KIS Active Bond Composite,2020/07/21,KOREA INVESTMENT TR,6.4,KIS All Bond Index (higher than AA- Grade),0.28,860167325555,-0.07,Very low,Physical(Active),0.02,Dividend income tax(tax on holding period)
,354500,ACE KOSDAQ150,2020/05/07,KOREA INVESTMENT TR,2.82,KOSDAQ 150,0.1,21928427037,-0.37,Very high,Physical(Passive),0.02,Non taxable
,305050,ACE KOSPI,2018/10/05,KOREA INVESTMENT TR,9.01,KOSPI,0.61,7177179732,0.13,Normal,Physical(Passive),0.02,Non taxable
,475050,ACE KPOP Focus,2024/01/30,KOREA INVESTMENT TR,0,iSelect K-POP Focus Index(Price Return),0.06,18696986054,-0.18,Very high,Physical(Passive),0.3,Non taxable
,411060,ACE KRX Physical Gold,2021/12/15,KOREA INVESTMENT TR,26.6,KRX Gold Spot Index,0.06,238260334879,0.29,Normal,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,226380,ACE Korean Culture,2015/08/19,KOREA INVESTMENT TR,4.01,FnGuide Growth and Consumption-Driven Stock Index,0.56,6223206851,0.03,Normal,Physical(Passive),0.5,Non taxable
,152500,ACE Leverage,2012/01/27,KOREA INVESTMENT TR,22.8,KOSPI 200,3.25,10918856580,-0.29,Very high,Physical(Passive),0.3,Dividend income tax(tax on holding period)
,190620,ACE MONEY MARKET,2013/12/23,KOREA INVESTMENT TR,0.19,KIS MSB Short-term Index(Total Return),0.04,166393007409,0.02,Very low,Physical(Passive),0.07,Dividend income tax(tax on holding period)
,256440,ACE MSCI Indonesia(Synth),2016/11/01,KOREA INVESTMENT TR,-12.54,MSCI Indonesia Index,0.31,50001576454,1.3,Low,Synthetic(Passive),0.7,Dividend income tax(tax on holding period)
,291130,ACE MSCI MEXICO(Synth),2018/03/09,KOREA INVESTMENT TR,-3.7,MSCI MEXICO IMI 25/50 Price return Index,1.36,12396768774,0.19,High,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,261920,ACE MSCI Philippines(Synth),2016/12/28,KOREA INVESTMENT TR,-2.05,MSCI Philippines IMI Index,0.12,5128023244,0.39,Low,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,265690,ACE MSCI Russia(Synth),2017/03/21,KOREA INVESTMENT TR,-1.51,MSCI Russia 25% Capped Price Return Index,1.89,85971387,20224.94,Very low,Synthetic(Passive),0,Dividend income tax(tax on holding period)
,475270,ACE May Rollover Corporate Bond Active,2024/01/23,KOREA INVESTMENT TR,0,KIS May Maturity Rollover Corp Bond TR Index(above AA-),0.06,73957835984,0.02,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,483330,ACE Microsoft Value Chain Active,2024/06/11,KOREA INVESTMENT TR,0,KEDI Global Generative AI Index,12.91,33192893049,0.45,High,Physical(Active),0.45,Dividend income tax(tax on holding period)
,438100,ACE NASDAQ100 3070 Blend,2022/08/26,KOREA INVESTMENT TR,21.04,NASDAQ-100 US T-Bills 30/70 Index,2.92,31009305141,0.17,Very low,Physical(Active),0.15,Dividend income tax(tax on holding period)
,448540,ACE NVIDIA30 Blend Bloomberg,2022/11/29,KOREA INVESTMENT TR,50.45,Bloomberg Blended NVIDIA Equity and Korean Bond Index,0.74,153945114823,-0.59,Normal,Physical(Passive),0.07,Dividend income tax(tax on holding period)
,447430,ACE Next level Value Active,2022/11/15,KOREA INVESTMENT TR,12.2,FnGuide Korea All-round Value Index,7.93,16734968064,0.01,Low,Physical(Active),0.7,Dividend income tax(tax on holding period)
,473440,ACE Nov Rollover Corporate Bond Active,2023/12/19,KOREA INVESTMENT TR,0,KIS Nov Maturity Rollover Corp Bond TR Index(above AA-),0.07,125683250308,0.03,Very low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,433500,ACE Nuclear Power Theme,2022/06/28,KOREA INVESTMENT TR,51.18,DeepSearch Nuclear-Power Theme Price Return Index,0.6,15541751746,-0.11,Very high,Physical(Passive),0.3,Non taxable
,483320,ACE Nvidia Value Chain Active,2024/06/11,KOREA INVESTMENT TR,0,KEDI Global AI Semiconductor Index,17.18,149116952337,-0.38,Very high,Physical(Active),0.45,Dividend income tax(tax on holding period)
,469170,ACE POSCO Group Focus,2023/10/17,KOREA INVESTMENT TR,0,FnGuide POSCO Group Focus Index(Price Return),0.77,43521190544,-0.34,Very high,Physical(Passive),0.3,Non taxable
,143460,ACE RAFI Large,2011/06/21,KOREA INVESTMENT TR,17.83,FnGuide-RAFI Korea Large Index,1.07,6256897450,-0.17,Normal,Physical(Passive),0.15,Non taxable
,277540,ACE S&P ASIA TOP50,2017/08/23,KOREA INVESTMENT TR,20.33,S&P ASIA50 Price Return Index,3.05,23065101815,-1.28,Normal,Physical(Passive),0.7,Dividend income tax(tax on holding period)
,402970,ACE S&P US Dividend 100,2021/10/21,KOREA INVESTMENT TR,14.52,Dow Jones U.S. Dividend 100 Price Return Index,0.7,351464761078,-0.03,Low,Physical(Passive),0.01,Dividend income tax(tax on holding period)
,360200,ACE S&P500,2020/08/07,KOREA INVESTMENT TR,33.69,S&P 500,0.13,1128086266659,-0.14,Low,Physical(Passive),0.07,Dividend income tax(tax on holding period)
,438080,ACE S&P500 3070 Blend,2022/08/26,KOREA INVESTMENT TR,19,S&P500 and Short-Term Treasury 30/70 Blend Index,1.96,79624832648,0.13,Very low,Physical(Active),0.15,Dividend income tax(tax on holding period)
,219900,ACE SYNTH-China Leverage,2015/05/28,KOREA INVESTMENT TR,-16.75,CSI 300 Index,3.07,5778006434,-2.08,Very high,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,205720,ACE SYNTH-Japan Inverse(H),2014/09/29,KOREA INVESTMENT TR,-22.69,TOPIX,1.34,6911191552,-0.18,Normal,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,181480,ACE SYNTH-USRET(H),2013/08/01,KOREA INVESTMENT TR,1.32,Dow Jones U.S. Real Estate Index,1.26,12280342379,-0.13,Normal,Synthetic(Passive),0.3,Dividend Income Tax(Separate Taxation Real Estate ETF)
,131890,ACE Samsung Group EW,2010/09/17,KOREA INVESTMENT TR,10.25,MKF SAMs EW Index,0.85,8740401744,0,Normal,Physical(Passive),0.15,Non taxable
,108450,ACE Samsung Group SW,2009/02/03,KOREA INVESTMENT TR,-3.55,MKF SAMs SW,0.38,54415325473,-0.23,Normal,Physical(Passive),0.15,Non taxable
,440640,ACE Short term Bond Alpha Active,2022/08/23,KOREA INVESTMENT TR,3.86,KIS Short-term Alpha Bond Total Return Index(higher than AA- Grade),0.09,54732426424,0.03,Very low,Physical(Active),0.15,Dividend income tax(tax on holding period)
,316300,ACE Singapore REITs,2019/01/29,KOREA INVESTMENT TR,-2.24,Morningstar Singapore REIT Yield Focus Index(PR),1.14,5921379440,-0.7,Low,Physical(Passive),0.4,Dividend Income Tax(Separate Taxation Real Estate ETF)
,322150,ACE Smart High Beta,2019/04/16,KOREA INVESTMENT TR,7.25,FnGuide Smart HighBeta Index,0.55,2809636407,-0.49,Normal,Physical(Passive),0.19,Non taxable
,322130,ACE Smart LowVol,2019/04/16,KOREA INVESTMENT TR,16.99,FnGuide Smart LowVol Index,0.9,3398129528,-0.33,Normal,Physical(Passive),0.19,Non taxable
,272220,ACE Smart Momentum,2017/07/11,KOREA INVESTMENT TR,15.02,FnGuide Smart Momentum Index,0.79,3268268719,-0.41,Normal,Physical(Passive),0.19,Non taxable
,322120,ACE Smart Quality,2019/04/16,KOREA INVESTMENT TR,10.11,FnGuide Smart Quality Index,0.53,3349253447,-0.46,Normal,Physical(Passive),0.19,Non taxable
,272230,ACE Smart Value,2017/07/11,KOREA INVESTMENT TR,20.72,FnGuide Smart Value Index,0.83,3103504665,-0.15,Normal,Physical(Passive),0.19,Non taxable
,460960,ACE Solactive Global Income TOP10,2023/07/11,KOREA INVESTMENT TR,0,Solactive Global Superior Income TOP 10 Price Return Index,1.22,19322746636,0.28,Very low,Physical(Passive),0.24,Dividend income tax(tax on holding period)
,446770,ACE Solactive Global Semiconductor TOP4,2022/11/15,KOREA INVESTMENT TR,81.35,Solactive Global Semiconductor TOP4 Plus Price Return Index,2.23,451021548157,-0.47,Very high,Physical(Passive),0.45,Dividend income tax(tax on holding period)
,225130,ACE Synth-Gold Futures Leverage(H),2015/07/28,KOREA INVESTMENT TR,21.9,S&P GSCI GOLD Index Excess Return,0.44,10001162121,-0.36,Very high,Synthetic(Passive),0.49,Dividend income tax(tax on holding period)
,114460,ACE TB,2009/07/31,KOREA INVESTMENT TR,0.71,KTB INDEX (Gross Price),0.16,18432234788,-0.02,Very low,Physical(Passive),0.15,Dividend income tax(tax on holding period)
,457480,ACE Tesla Value Chain Active,2023/05/16,KOREA INVESTMENT TR,-13.19,Bloomberg EV Supporters Plus Tesla Price Return Index,20.88,306927332996,-0.86,Very high,Physical(Active),0.29,Dividend income tax(tax on holding period)
,453850,ACE U.S. Long Term T-Bond Active(H),2023/03/14,KOREA INVESTMENT TR,-13.05,Bloomberg U.S Treasury 20+ Year Total Return Index,4.14,1291017988601,-0.1,Normal,Physical(Active),0.05,Dividend income tax(tax on holding period)
,452250,ACE U.S. Ultra T-Bond Futures 2X(Syn H),2023/02/07,KOREA INVESTMENT TR,-24.38,S&P Ultra T-Bond Futures Index(ER),0.37,76858778754,-0.57,Very high,Synthetic(Passive),0.25,Dividend income tax(tax on holding period)
,480030,ACE US 500 15% Premium(Syn),2024/04/23,KOREA INVESTMENT TR,0,Bloomberg US 500 Large Cap Premium Decrement 15% Distribution Index,0.65,65045008273,0.02,Very low,Synthetic(Passive),0.45,Dividend income tax(tax on holding period)
,465620,ACE US Big Tech 7 Plus Inverse(Synth),2023/09/12,KOREA INVESTMENT TR,0,Solactive US Big Tech Top 7 Plus Price Return Index,0.45,12205856809,0.07,High,Synthetic(Passive),0.6,Dividend income tax(tax on holding period)
,465610,ACE US Big Tech 7 Plus Leverage(Synth),2023/09/12,KOREA INVESTMENT TR,0,Solactive US Big Tech Top 7 Plus Price Return Index,0.39,52265173294,-0.11,Very high,Synthetic(Passive),0.6,Dividend income tax(tax on holding period)
,465580,ACE US Big Tech TOP 7 Plus,2023/09/12,KOREA INVESTMENT TR,0,Solactive US Big Tech Top 7 Plus Price Return Index,0.15,375018242964,-0.15,High,Physical(Passive),0.3,Dividend income tax(tax on holding period)
,480020,ACE US BigTech Top7Plus 15% Premium(Syn),2024/04/23,KOREA INVESTMENT TR,0,Bloomberg US Big Tech Top 7 Plus Premium Decrement 15% Distribution Index,0.65,99060691161,0.1,High,Synthetic(Passive),0.45,Dividend income tax(tax on holding period)
,473590,ACE US Equity Best Seller,2023/12/27,KOREA INVESTMENT TR,0,FnGuide US Equity Best Seller Price Return Index,0.58,13727614805,-0.27,High,Physical(Passive),0.3,Dividend income tax(tax on holding period)
,391600,ACE US Green Theme,2021/08/05,KOREA INVESTMENT TR,-12.21,Indxx US Green Infrastructure Price return Index,0.5,20041177888,-1.54,High,Physical(Passive),0.7,Dividend income tax(tax on holding period)
,455660,ACE US High Yield Active(H),2023/04/18,KOREA INVESTMENT TR,0.56,Markit iBoxx USD Liquid High Yield Total Return Index,3.1,8915756485,0.24,Very low,Physical(Active),0.24,Dividend income tax(tax on holding period)
,280320,ACE US INTERNET(Synth H),2017/10/17,KOREA INVESTMENT TR,25.33,Dow Jones Internet Composite Price return Index,0.97,12982429724,-0.6,High,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,476760,ACE US Long Term T-Bond Active,2024/03/12,KOREA INVESTMENT TR,0,Bloomberg U.S Treasury 20+ Year Total Return Index,1.65,25579106027,-0.16,Low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,476750,ACE US Long Term T-Bond JPYKRW Active(H),2024/03/12,KOREA INVESTMENT TR,0,Bloomberg U.S. Treasury 20+ Year Total Return Index T1530 JPY Currency Hedged,15.03,71223467593,-0.21,Low,Physical(Active),0.15,Dividend income tax(tax on holding period)
,367380,ACE US NASDAQ100,2020/10/29,KOREA INVESTMENT TR,42.11,NASDAQ 100,0.12,918649277154,-0.23,Low,Physical(Passive),0.07,Dividend income tax(tax on holding period)
,391590,ACE US SPAC&IPO INDXX,2021/08/05,KOREA INVESTMENT TR,-10.2,Indxx SPAC & NEXTGEN IPO Price return Index,3.62,1507555380,-1.89,High,Physical(Passive),0.7,Dividend income tax(tax on holding period)
,480040,ACE US Semiconductor 15% Premium(Syn),2024/04/23,KOREA INVESTMENT TR,0,Bloomberg US Listed Semiconductor Premium Decrement 15% Distribution Index,0.66,60867950864,-0.17,Very high,Synthetic(Passive),0.45,Dividend income tax(tax on holding period)
,440650,ACE US Short Term Bond Active,2022/08/23,KOREA INVESTMENT TR,11.79,Bloomberg Short-Term Treasury Total Return Index,0.37,11037340835,0.07,Very low,Physical(Active),0.3,Dividend income tax(tax on holding period)
,309230,ACE US Wide Moat,2018/10/25,KOREA INVESTMENT TR,18.93,MorningStar Wide Moat Focus Index,0.38,102988030257,0.04,Low,Physical(Passive),0.4,Dividend income tax(tax on holding period)
,456880,ACE USD SOFR(Synth),2023/04/25,KOREA INVESTMENT TR,12.37,Solactive SOFR Daily Total Return Index,0.04,117066464640,0.07,Very low,Synthetic(Passive),0.05,Dividend income tax(tax on holding period)
,371130,ACE Vietnam VN30 Futures Leverage(H),2020/11/25,KOREA INVESTMENT TR,13.15,Bloomberg VN30 Futures Excess Return Index,3.47,6773157330,-0.12,Very high,Physical(Passive),0.7,Dividend income tax(tax on holding period)
,245710,ACE VietnamVN30(Synth),2016/07/01,KOREA INVESTMENT TR,11.9,VN30 Index(PR),0.22,293760414244,-0.7,Normal,Synthetic(Passive),0.7,Dividend income tax(tax on holding period)
,461460,ARIRANG 10-Year Treasury Bond Active,2023/07/18,Hanwha Asset Mgt.,0,KAP KTB 10-Year Equal Weighted Index(TR),0.17,103494168964,-0.03,Very low,Physical(Active),0.045,Dividend income tax(tax on holding period)
,152100,ARIRANG 200,2012/01/10,Hanwha Asset Mgt.,12.72,KOSPI 200,0.7,705359241660,-0.42,Normal,Physical(Passive),0.017,Non taxable
,253160,ARIRANG 200 Futures Inverse 2X,2016/09/22,Hanwha Asset Mgt.,-24,F-KOSPI 200,0.38,6044767458,-0.12,Very high,Physical(Passive),0.06,Dividend income tax(tax on holding period)
,253150,ARIRANG 200 Futures Leverage,2016/09/29,Hanwha Asset Mgt.,22.26,F-KOSPI 200,0.8,9571942200,-0.22,Very high,Physical(Passive),0.06,Dividend income tax(tax on holding period)
,451600,ARIRANG 30-Year Treasury Bond Active,2023/02/07,Hanwha Asset Mgt.,11.6,KAP KTB 30-Year Index(TR),0.29,220127595970,0.3,Low,Physical(Active),0.05,Dividend income tax(tax on holding period)
,278620,ARIRANG ACTIVE SHORT TERM BOND,2017/09/26,Hanwha Asset Mgt.,4.19,"KAP Invetable Credit Bond 1Y Index (A- or Higher, Total Return)",0.23,179709480290,0.03,Very low,Physical(Active),0.07,Dividend income tax(tax on holding period)
,421320,ARIRANG Aero&UAM iSelect,2022/03/29,Hanwha Asset Mgt.,23.27,iSelect Acrospace&UAM Index,0.46,63500235158,-0.23,High,Physical(Passive),0.45,Non taxable
,447660,ARIRANG Apple Balanced,2022/11/29,Hanwha Asset Mgt.,9.03,FnGuide APPLE Balanced Index,1.31,13064695402,-0.35,Very low,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,239660,ARIRANG CREDIT BOND50,2016/03/22,Hanwha Asset Mgt.,3.89,KOBI HALF CREDIT Index(Total Retrun),0.15,13955020338,0.02,Very low,Physical(Passive),0.135,Dividend income tax(tax on holding period)
,256450,ARIRANG ChiNext(Synth),2016/11/08,Hanwha Asset Mgt.,-18.27,SZSE ChiNext Price Index,0.98,3733047453,-1.76,High,Synthetic(Passive),0.5,Dividend income tax(tax on holding period)
,395760,ARIRANG ESG Growth Active,2021/07/30,Hanwha Asset Mgt.,12.97,FnGuide Hanhwa ESG Growth Index,3.02,4566454286,0.13,Normal,Physical(Active),0.105,Dividend income tax(tax on holding period)
,395750,ARIRANG ESG Value Active,2021/07/30,Hanwha Asset Mgt.,10.94,FnGuide Hanhwa ESG Value Index,2.25,14342793877,0.12,Normal,Physical(Active),0.105,Dividend income tax(tax on holding period)
,438210,ARIRANG Global AI MV,2022/08/17,Hanwha Asset Mgt.,18.67,BlueStar Artificial Intelligence Index(Price Retun),1.27,6027483668,-0.62,Normal,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,442580,ARIRANG Global HBM,2022/09/22,Hanwha Asset Mgt.,74.57,iSelect Global HBM Semiconductor Index,2.34,12513268142,-0.75,Very high,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,251590,ARIRANG HDivLowVol,2016/08/11,Hanwha Asset Mgt.,17.66,FnGuide High Dividend Low Vol 50 Index,1.12,6848575893,0.06,Low,Physical(Passive),0.23,Non taxable
,251600,ARIRANG High Dividend Bond Balanced ETF,2016/08/11,Hanwha Asset Mgt.,14.77,FnGuide High Dividend Bananced Index,0.92,29391586165,-0.05,Very low,Physical(Passive),0.2,Dividend income tax(tax on holding period)
,161510,ARIRANG High Dividend ETF,2012/08/29,Hanwha Asset Mgt.,30.19,FnGuide Dividend Index,2.21,374305130432,-0.17,Normal,Physical(Passive),0.23,Non taxable
,419650,ARIRANG Hydrogen NextGen Fuel Cell MV,2022/02/15,Hanwha Asset Mgt.,-36.17,BlueStar Hydrogen and NextGen Fuel Cell Index (Price Return),5.99,10335277665,-0.94,Very high,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,464920,ARIRANG Japan SEMICON M&E Solactive,2023/08/31,Hanwha Asset Mgt.,0,Solactive Japan Semiconductor Materials and Equipment Index PR,0.76,43807308323,-1.81,Very high,Physical(Passive),0.5,Dividend income tax(tax on holding period)
,449450,ARIRANG K-Defense Industry Fn,2023/01/05,Hanwha Asset Mgt.,27.01,FnGuide K-Defense Industry Index,0.22,131345230660,0.09,Very high,Physical(Passive),0.45,Non taxable
,429740,ARIRANG K-REITs Fn,2022/05/24,Hanwha Asset Mgt.,-1.69,FnGuide REITs Index,1.74,7636053864,-0.24,Low,Physical(Passive),0.25,Dividend Income Tax(Separate Taxation Real Estate ETF)
,436180,ARIRANG K-Unicorn Active,2022/07/13,Hanwha Asset Mgt.,4.61,FnGuide K-Unicorn Investment Company Index,2.24,3490751240,0.11,Normal,Physical(Active),0.45,Dividend income tax(tax on holding period)
,453010,ARIRANG KOFR,2023/03/14,Hanwha Asset Mgt.,3.53,KOFR Index,0.24,94982941542,-0.01,Very low,Physical(Passive),0.05,Dividend income tax(tax on holding period)
,301400,ARIRANG KOSDAQ150,2018/07/05,Hanwha Asset Mgt.,2.77,KOSDAQ 150,0.34,5504423011,-0.12,Very high,Physical(Passive),0.15,Non taxable
,301410,ARIRANG KOSDAQ150 F-Inverse,2018/07/11,Hanwha Asset Mgt.,-11.71,F-KOSDAQ150 Index,0.57,3054853500,-0.26,Very high,Physical(Passive),0.29,Dividend income tax(tax on holding period)
,227830,ARIRANG KOSPI,2015/09/23,Hanwha Asset Mgt.,8.55,KOSPI,0.6,7230068032,0.14,Normal,Physical(Passive),0.2,Non taxable
,328370,ARIRANG KOSPI TR,2019/06/25,Hanwha Asset Mgt.,10.64,KOSPI TR,0.19,189666049370,0.18,Normal,Physical(Passive),0.15,Dividend income tax(tax on holding period)
,122090,ARIRANG KOSPI50,2010/01/07,Hanwha Asset Mgt.,13.68,KOSPI 50,0.82,9612388769,0.05,Normal,Physical(Passive),0.33,Non taxable
,333950,ARIRANG KS LowSize Tilt TR,2019/09/05,Hanwha Asset Mgt.,8.78,FnGuide KS LowSize Tilt TR Index,0.28,8569590272,0.12,Normal,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,333940,ARIRANG KS LowVol Tilt TR,2019/09/05,Hanwha Asset Mgt.,18.42,FnGuide KS LowVol Tilt TR Index,0.48,7872849528,0.14,Normal,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,333960,ARIRANG KS Momentum Tilt TR,2019/09/05,Hanwha Asset Mgt.,19.28,FnGuide KS Momentum Tilt TR Index,0.36,8987961028,0.14,High,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,333980,ARIRANG KS Quality Tilt TR,2019/09/05,Hanwha Asset Mgt.,13.73,FnGuide KS Quality Tilt TR Index,0.32,1580333282,0.11,Normal,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,333970,ARIRANG KS Value Tilt TR,2019/09/05,Hanwha Asset Mgt.,15.22,FnGuide KS Value Tilt TR Index,0.45,8631127444,0.19,Normal,Physical(Passive),0.25,Dividend income tax(tax on holding period)
,289670,ARIRANG KTB 10Y Futures,2018/02/07,Hanwha Asset Mgt.,4.24,F-LKTB Index,0.28,6011691912,0.01,Very low,Physical(Passive),0.05,Dividend income tax(tax on holding period)
,298340,ARIRANG KTB 3Y Futures,2018/06/08,Hanwha Asset Mgt.,3.63,F-KTB Index,0.17,6590764702,0.01,Very low,Physical(Passive),0.1,Dividend income tax(tax on holding period)
,280920,ARIRANG Leading,2017/10/17,Hanwha Asset Mgt.,23.9,FnGuide Leading Industry Index,0.81,6185979553,0.02,High,Physical(Passive),0.23,Non taxable
